,,,Turnout Rate,Denominators,,Vote in Party Contest,,,,,
Date,State,Election Type,VEP Total Ballots Counted,Voting-Eligible Population (VEP),Voting-Age Population (VAP),Democrat,Republican,Minor,Total Ballots Counted,Notes,
3/1/16,Alabama,Primary,35.00%,3602334,3764601,399899,860652,,1260551,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2016.aspx?a=voters,Amended Democratic Results http://www.alabamavotes.gov/downloads/election/2016/primary/primaryResultsCertified-Amended-Democratic-2016-06-27.pdf
3/26/16,Alaska,Caucus,6.20%,520731,553484,10600,,,32530,http://www.adn.com/article/20160326/sanders-dominates-packed-alaska-democratic-caucuses,
3/22/16,Arizona,Primary,23.50%,4659373,5268830,468461,625770,880,1095111,http://apps.azsos.gov/election/2016/PPE/canvass2016ppe.pdf,
,Arkansas,Primary,30.20%,2137115,2281940,221020,410920,,644523,http://results.enr.clarityelections.com/AR/58350/162437/Web01/en/summary.html,
6/7/16,California,Primary,34.00%,25126973,30367243,5173338,2227306,93119,8548301,http://vote.sos.ca.gov/,All minor parties combined
,Colorado,Caucus,,3928790,4259519,123508,,,,http://www.coloradocaucus.com/,
4/26/16,Connecticut,Primary,21.00%,2579776,2831012,328624,213647,,542271,http://www.ct.gov/sots/lib/sots/electionservices/statementofvote_pdfs/april_2016_republican_ppp_sov.pdf,http://www.ct.gov/sots/lib/sots/electionservices/statementofvote_pdfs/april_2016_democratic_ppp_sov.pdf
,Delaware,Primary,23.50%,695642,749184,93640,69892,,163532,http://elections.delaware.gov/archive/elect16/elect16_pres_primary/html/index.shtml,
3/15/16,Florida,Primary,28.20%,14445578,16383763,1709183,2361805,,4070988,http://enight.elections.myflorida.com/FederalOffices/Presidential/,
,Georgia,Primary,29.90%,6900387,7781773,766944,1296559,2706,2066209,http://results.enr.clarityelections.com/GA/58980/162407/en/summary.html,Statistics from SoS vote history file
,Hawaii,Caucus,4.60%,1025208,1127205,33716,13377,,47093,,AP results
,Idaho,Caucus,21.90%,1149007,1234566,23884,226711,485,251080,http://www.sos.idaho.gov/elect/results/2016/PresidentialPrimary/ENR/statewide_total.html,
,Illinois,Primary,38.90%,9015796,9907466,2056047,1449748,,3505795,http://www.elections.il.gov/ElectionResults.aspx?ID=50,
5/3/16,Indiana,Primary,36.50%,4855984,5061304,638779,1110543,,1771753,http://www.in.gov/apps/sos/primary/sos_primary16?page=office&countyID=-1&partyID=-1&officeID=36&districtID=-1&districtshortviewID=-1&candidate=,
2/1/16,Iowa,Caucus,15.70%,2286197,2403229,171109,186874,,357983,,
3/5/16,Kansas,Caucus,5.50%,2062778,2199237,40000,73116,,113116,,
5/17/16,Kentucky,Primary,20.50%,3265260,3423910,454573,229667,,669850,http://results.enr.clarityelections.com/KY/61323/168222/Web01/en/summary.html,
,Louisiana,Primary,19.00%,3373552,3569063,311776,301241,,639722,https://voterportal.sos.la.gov/Graphical,
,Maine,Caucus,6.10%,1054309,1074172,46000,18650,64650,,,
,Maryland,Primary,32.80%,4190917,4682409,916763,459066,,1375829,http://elections.maryland.gov/elections/2016/results/Primary/gen_results_2016_3_001-.html,
,Massachusetts,Primary,37.40%,4966742,5442265,1220296,637703,1681,1859680,http://www.sec.state.ma.us/ele/,
,Michigan,Primary,34.10%,7419694,7734729,1205552,1323589,,2529141,http://miboecfr.nictusa.com/election/results/2016PPR_CENR.html,
,Minnesota,Caucus,8.10%,3967061,4225114,207109,114245,,321354,http://electionresults.sos.state.mn.us/,
,Mississippi,Primary,29.50%,2181159,2267268,227164,416252,,643416,http://www.sos.ms.gov/Elections-Voting/Pages/Election-Results-By-Year.aspx,
,Missouri,Primary,34.80%,4518767,4706349,629425,939270,3504,1572199,http://enr.sos.mo.gov/EnrNet/,
,Montana,Primary,35.50%,798787,813839,126376,156888,,283264,http://mtelectionresults.gov/,
,Nebraska,Caucus,17.20%,1348302,1433159,78510,197430,705,,,Still one preinct shy according to AP. We may never know the true number
2/23/16,Nevada,Caucus,8.20%,1936072,2248402,84000,75216,,159216,,
2/9/16,New Hampshire,Primary,52.40%,1035734,1070657,254776,287683,,542459,http://sos.nh.gov/2016PresPrimElectResults.aspx,
,New Jersey,Primary,20.40%,6060729,6989532,793548,443062,,1236610,http://www.state.nj.us/state/elections/,"Not certified results, still some votes outstanding, provisional ballots to be counted"
,New Mexico,Primary,22.60%,1455013,1592398,216705,104627,,328792,http://electionresults.sos.state.nm.us/default.aspx,
4/19/16,New York,Primary,21.20%,13638797,15635714,1970900,921771,,2892671,http://www.elections.ny.gov/,
,North Carolina,Primary,31.60%,7266734,7816113,1142916,1149530,5819,2298265,http://er.ncsbe.gov/?election_dt=03/15/2016&county_id=0&office=FED&contest=0,
,North Dakota,Caucus,0.70%,578789,594043,4000,,,4000,Number of attendees of district level caucuses provided to me by North Dakota Democratic Party. ******* A RESIDUAL IN THE DATA BETWEEN THE DEMOCRATIC AND REPUBLICAN PARTY ON VEP AND VAP**** Difference of about 3 thousand votes,
,Ohio,Primary,37.50%,8738019,9004337,1259754,2014396,4043,3278193,http://www.sos.state.oh.us/SOS/elections/Research/electResultsMain/2016Results.aspx,
,Oklahoma,Primary,28.60%,2781841,2966460,335843,459922,,795765,https://www.ok.gov/elections/support/20160301_seb.html,
,Oregon,Primary,36.00%,2980345,3211041,658102,415103,155253,1073205,http://sos.oregon.gov/elections/Documents/P16-Statewide-turnout.pdf,"I count all minor party and no party affilated in ""Minor"" category. There were 107,699 no party affilated and 47,554 minor party votes cast. These are not include in the total ballots cast or turnout rate calculations since none of these voters selected delegates to their party conventions"
,Pennsylvania,Primary,33.70%,9721843,10131664,1681427,1594475,,3275902,http://www.electionreturns.state.pa.us/ENR_NEW,.
,Rhode Island,Primary,23.60%,780998,847454,122458,61614,,184072,https://www.ri.gov/election/results/2016/presidential_preference_primary/,
2/27/16,South Carolina,Primary,30.50%,3663583,3837705,373063,,,1118468,http://www.enr-scvotes.org/SC/59277/160652/en/summary.html,
,South Dakota,Primary,19.90%,634281,651157,53006,66879,,126128,http://electionresults.sd.gov/,
,Tennessee,Primary,25.30%,4874592,5134596,377222,855729,,1232951,http://elections.tn.gov/results.php,
,Texas,Primary,24.70%,17299279,20534676,1435895,2836488,,4272383,https://enrpages.sos.state.tx.us/,
,Utah,Caucus,14.30%,1963474,2113180,81606,200000,,281606,"Democratic: http://utahdemocrats.org/caucus2016results/, Republican: the Utah Republican Party provided a press release stating ""over 200,000"" people participated in their caucus",
,Vermont,Primary,39.80%,495563,506881,135256,61756,,197012,http://vtelectionresults.sec.state.vt.us/Index.html#/,
,Virginia,Primary,30.10%,6022089,6549502,785041,1025425,,1810466,https://www.elections.virginia.gov/resultsreports/election-results/,
5/24/16,Washington,Primary,16.00%,5095707,5641592,,587152,,817152,http://results.vote.wa.gov/results/20160524/President-Republican-Party.html,
,West Virginia,Primary,31.10%,1434982,1459826,242539,204061,,446600,https://apps.sos.wv.gov/elections/results/results.aspx?year=2016&eid=22&county=Statewide,
4/5/16,Wisconsin,Primary,49.40%,4282271,4491213,1007600,1105944,,2113544,http://www.gab.wi.gov/elections-voting/results/2016/spring-election-presidential-preference,
4/9/16,Wyoming,Caucus,,428411,448249,7000,,,,http://m.gazette.com/wyoming-democrats-give-sanders-another-win/article/feed/335238,
6/14/16,District of Columbia,Primary,20.20%,510895,563776,100423,,,103262,https://electionresults.dcboe.org/election_results/2016-Primary-Election,